Time,Latitude,Longitude
656.0,36.08700892,-86.94430872
657.0,36.08717495,-86.94398103
658.0,36.08734531,-86.94366675
659.0,36.08753131,-86.94336853
660.0,36.08772704,-86.94307018
661.0,36.08792126,-86.9427785
662.0,36.08813531,-86.94250601
663.0,36.08836794,-86.94224115
664.0,36.08858318,-86.941968
665.0,36.0887991,-86.94170319
666.0,36.08902576,-86.9414536
667.0,36.08925496,-86.94119993
668.0,36.08949723,-86.94096406
669.0,36.08973496,-86.94072424
670.0,36.08997426,-86.94048968
671.0,36.09021918,-86.9402595
672.0,36.09047081,-86.94003801
673.0,36.09072554,-86.93982269
674.0,36.090981,-86.93960666
675.0,36.09124289,-86.93939708
676.0,36.09151309,-86.93920495
677.0,36.09178585,-86.93901824
678.0,36.09205884,-86.9388404
679.0,36.09233852,-86.9386664
680.0,36.09262138,-86.93850034
681.0,36.09290683,-86.93834341
682.0,36.09319402,-86.93819876
683.0,36.09348291,-86.9380583
684.0,36.09377609,-86.9379238
685.0,36.09406002,-86.93778429
686.0,36.09435874,-86.93766025
687.0,36.09465295,-86.93753351
688.0,36.09494813,-86.93740525
689.0,36.09524487,-86.9372741
690.0,36.09554334,-86.93714835
691.0,36.09583045,-86.93701342
692.0,36.09611442,-86.93687744
693.0,36.09640547,-86.93674241
694.0,36.09669259,-86.93661118
695.0,36.09697973,-86.93647819
696.0,36.09727105,-86.9363551
697.0,36.09756212,-86.93621938
698.0,36.09785317,-86.93608592
699.0,36.09814192,-86.93595123
700.0,36.09843312,-86.93582039
701.0,36.09872687,-86.93569153
702.0,36.09902027,-86.93556011
703.0,36.09931181,-86.93542968
704.0,36.09960024,-86.93529788
705.0,36.09988494,-86.93515779
706.0,36.10017117,-86.93501927
707.0,36.10045276,-86.93487305
708.0,36.10073569,-86.93471832
709.0,36.10101458,-86.93454574
710.0,36.10129142,-86.93437722
711.0,36.10156358,-86.93419888
712.0,36.10183778,-86.93402162
713.0,36.10210028,-86.93383875
714.0,36.10236798,-86.93363573
715.0,36.10262805,-86.93342228
716.0,36.10287817,-86.93321854
717.0,36.10312733,-86.9330049
718.0,36.10337201,-86.93279632
719.0,36.10362757,-86.93257476
720.0,36.10387688,-86.93235254
721.0,36.10412085,-86.93211619
722.0,36.10435602,-86.93187146
723.0,36.10457885,-86.93163523
724.0,36.10480932,-86.93139412
725.0,36.10503725,-86.93114171
726.0,36.10524534,-86.93087689
727.0,36.10546704,-86.93062886
728.0,36.10565666,-86.93030477
729.0,36.10586393,-86.93000979
730.0,36.10607292,-86.9297282
731.0,36.10628492,-86.92945372
732.0,36.10648966,-86.92918371
733.0,36.10670967,-86.92890028
734.0,36.10692278,-86.92862684
735.0,36.10713267,-86.92834717
736.0,36.10733813,-86.92807161
737.0,36.10754109,-86.92779261
738.0,36.10775175,-86.92751374
739.0,36.10796188,-86.92723757
740.0,36.10816399,-86.92694561
741.0,36.10836785,-86.92665662
742.0,36.10857671,-86.92636499
743.0,36.10878257,-86.92607533
744.0,36.10898878,-86.92578653
745.0,36.10918859,-86.9255022
746.0,36.10938974,-86.9252162
747.0,36.1095819,-86.92492014
748.0,36.10979741,-86.92464237
749.0,36.10999397,-86.92435752
750.0,36.11015804,-86.92406705
751.0,36.11033929,-86.92377678
752.0,36.11056403,-86.9234886
753.0,36.11077975,-86.92321773
754.0,36.11099559,-86.92293925
755.0,36.11121371,-86.92266018
756.0,36.11142143,-86.92238285
757.0,36.11166899,-86.92212527
758.0,36.11188673,-86.92184948
759.0,36.11210747,-86.92157636
760.0,36.11231008,-86.92129938
761.0,36.11252617,-86.92102205
762.0,36.11272957,-86.92073611
763.0,36.11294349,-86.92045554
764.0,36.11314925,-86.92017406
765.0,36.11337356,-86.91990888
766.0,36.11358028,-86.91962923
767.0,36.11379245,-86.91935717
768.0,36.11400862,-86.91909261
769.0,36.1142344,-86.91882266
770.0,36.11444596,-86.91854654
771.0,36.11465678,-86.91825711
772.0,36.11484941,-86.91795445
773.0,36.11505681,-86.91767304
774.0,36.11525125,-86.91738879
775.0,36.11545558,-86.91710904
776.0,36.11568976,-86.91685344
777.0,36.11589361,-86.9165854
778.0,36.11610918,-86.91630255
779.0,36.11632739,-86.91602984
780.0,36.11653965,-86.91575546
781.0,36.11672515,-86.91545336
782.0,36.11695149,-86.91519472
783.0,36.11717366,-86.91494477
784.0,36.1174013,-86.91469672
785.0,36.11763032,-86.91444271
786.0,36.11786651,-86.91420548
787.0,36.11811164,-86.91396377
788.0,36.11835075,-86.91372325
789.0,36.11859428,-86.91348936
790.0,36.11883386,-86.91325539
791.0,36.11907422,-86.91301627
792.0,36.11932169,-86.91278234
793.0,36.11956177,-86.91254273
794.0,36.11980099,-86.91230422
795.0,36.12004663,-86.91206867
796.0,36.12028686,-86.91183465
797.0,36.12052747,-86.91159449
798.0,36.12076367,-86.91134819
799.0,36.12100492,-86.91111985
800.0,36.12124179,-86.91087853
801.0,36.12148535,-86.91063934
802.0,36.12172741,-86.91041295
803.0,36.1219631,-86.91017845
804.0,36.12220037,-86.90994247
805.0,36.12244251,-86.90969452
806.0,36.12269266,-86.90946787
807.0,36.12294099,-86.90922846
808.0,36.12317567,-86.90897823
809.0,36.12340495,-86.90871858
810.0,36.12363346,-86.9084574
811.0,36.12384081,-86.90816554
812.0,36.12404039,-86.90787303
813.0,36.12423083,-86.90756909
814.0,36.12441359,-86.90723942
815.0,36.12458207,-86.90691882
816.0,36.12474495,-86.90659747
817.0,36.12490695,-86.90627088
818.0,36.12506477,-86.90593994
819.0,36.12522877,-86.90561292
820.0,36.12539724,-86.90531287
821.0,36.12555936,-86.90498809
822.0,36.12573611,-86.90467387
823.0,36.12590107,-86.90436036
824.0,36.12606801,-86.90404584
825.0,36.12623207,-86.90372358
826.0,36.12639326,-86.90340399
827.0,36.12653653,-86.90307722
828.0,36.12671308,-86.90276002
829.0,36.12689059,-86.9024457
830.0,36.12708685,-86.90214985
831.0,36.12729396,-86.90186892
832.0,36.12751394,-86.90161776
833.0,36.12775953,-86.90137905
834.0,36.12800754,-86.90115367
835.0,36.12825646,-86.90092649
836.0,36.12849962,-86.90070793
837.0,36.12875136,-86.90048841
838.0,36.12900476,-86.90026418
839.0,36.12923803,-86.90003205
840.0,36.12948559,-86.89980802
841.0,36.1297307,-86.89958242
842.0,36.12997012,-86.89936997
843.0,36.13021782,-86.89914746
844.0,36.13046293,-86.89892033
845.0,36.13071034,-86.89869686
846.0,36.13095559,-86.89846037
847.0,36.13119979,-86.89822713
848.0,36.13144823,-86.89800458
849.0,36.13170275,-86.89777977
850.0,36.13195119,-86.89755619
851.0,36.13220051,-86.89731589
852.0,36.13244272,-86.89707758
853.0,36.13268541,-86.8968465
854.0,36.13293068,-86.89661185
855.0,36.13317176,-86.89637863
856.0,36.13341592,-86.89613815
857.0,36.13365441,-86.8958917
858.0,36.13387514,-86.89563655
859.0,36.13408951,-86.89537041
860.0,36.13430083,-86.8951059
861.0,36.13452374,-86.89484966
862.0,36.13472765,-86.89456784
863.0,36.134956,-86.89429471
864.0,36.13516229,-86.89400817
865.0,36.13536759,-86.89369091
866.0,36.13555361,-86.89338276
867.0,36.13576106,-86.8931069
868.0,36.13596332,-86.89281434
869.0,36.13616858,-86.89252604
870.0,36.13637968,-86.89224678
871.0,36.13659167,-86.89196484
872.0,36.13679724,-86.8916796
873.0,36.13699111,-86.89138454
874.0,36.13719225,-86.891116
875.0,36.13738997,-86.89085126
876.0,36.13758771,-86.89059857
877.0,36.13778813,-86.89033261
878.0,36.13797088,-86.89007346
879.0,36.13816237,-86.88981623
880.0,36.13835358,-86.88955931
881.0,36.13853887,-86.88930625
882.0,36.13871681,-86.88905249
883.0,36.13890829,-86.88879555
884.0,36.13909222,-86.88854402
885.0,36.13925913,-86.88828357
886.0,36.13943739,-86.8880335
887.0,36.13962031,-86.88778411
888.0,36.13981165,-86.8875312
